2026-04-03 11:44:56.790 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (176ms)
2026-04-03 11:44:57.210 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (415ms)
2026-04-03 11:44:57.211 | INFO     | business.system_flows:80 - [SystemFlows] 登录成功，token 已注入。user=admin
2026-04-03 11:44:57.374 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (162ms)
2026-04-03 11:44:57.376 | INFO     | business.system_flows:125 - [SystemFlows] getInfo 成功: userId=1, roles=['admin'], permissions_count=1
2026-04-03 11:44:57.782 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (392ms)
2026-04-03 11:44:58.237 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (422ms)
2026-04-03 11:44:58.379 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (141ms)
2026-04-03 11:44:58.389 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (8ms)
2026-04-03 11:44:58.815 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (423ms)
2026-04-03 11:49:43.620 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (546ms)
2026-04-03 11:50:30.364 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (488ms)
2026-04-03 11:50:30.788 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (409ms)
2026-04-03 11:50:30.945 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (156ms)
2026-04-03 11:50:31.364 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (414ms)
2026-04-03 11:50:31.366 | INFO     | business.system_flows:80 - [SystemFlows] 登录成功，token 已注入。user=admin
2026-04-03 11:50:31.516 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (150ms)
2026-04-03 11:50:31.517 | INFO     | business.system_flows:125 - [SystemFlows] getInfo 成功: userId=1, roles=['admin'], permissions_count=1
2026-04-03 11:50:31.954 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (420ms)
2026-04-03 11:50:32.426 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (422ms)
2026-04-03 11:50:32.574 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (148ms)
2026-04-03 11:50:32.600 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (18ms)
2026-04-03 11:50:33.012 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (407ms)
2026-04-03 13:00:10.319 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (634ms)
2026-04-03 13:00:10.748 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (414ms)
2026-04-03 13:00:10.926 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (177ms)
2026-04-03 13:00:11.364 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (420ms)
2026-04-03 13:00:11.366 | INFO     | business.system_flows:80 - [SystemFlows] 登录成功，token 已注入。user=admin
2026-04-03 13:00:11.521 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (154ms)
2026-04-03 13:00:11.522 | INFO     | business.system_flows:125 - [SystemFlows] getInfo 成功: userId=1, roles=['admin'], permissions_count=1
2026-04-03 13:00:11.952 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (420ms)
